Molecule ChEMBL ID,NPR2,GETAWAY_6,GETAWAY_7,GETAWAY_20,GETAWAY_24,GETAWAY_27,GETAWAY_30,GETAWAY_38,GETAWAY_43,GETAWAY_44,GETAWAY_52,GETAWAY_55,GETAWAY_59,GETAWAY_61,GETAWAY_62,GETAWAY_65,GETAWAY_95,GETAWAY_127,GETAWAY_130,GETAWAY_136,GETAWAY_140,GETAWAY_154,GETAWAY_156,GETAWAY_159,GETAWAY_172,GETAWAY_184,GETAWAY_194,GETAWAY_197,GETAWAY_198,GETAWAY_210,GETAWAY_216,GETAWAY_228,GETAWAY_232,GETAWAY_233,GETAWAY_249,GETAWAY_264,WHIM_1,WHIM_19,WHIM_30,WHIM_31,WHIM_43,WHIM_76,WHIM_102,MORSE_10,MORSE_25,MORSE_30,MORSE_33,MORSE_34,MORSE_42,MORSE_53,MORSE_55,MORSE_60,MORSE_61,MORSE_73,MORSE_78,MORSE_81,MORSE_85,MORSE_94,MORSE_194,MORSE_201,MORSE_204,MORSE_206,MORSE_222,RDF_4,RDF_16,RDF_31,RDF_34,RDF_39,RDF_40,RDF_41,RDF_44,RDF_47,RDF_49,RDF_53,RDF_70,RDF_189,RDF_190,RDF_203,RDF_204,RDF_206,RDF_207,AUTOCORR3D_4,AUTOCORR3D_7,AUTOCORR3D_19,AUTOCORR3D_26,AUTOCORR3D_63,Hardness,PEOE_VSA2,PEOE_VSA14,GGI5,JGI1,JGI3,JGI6,max_charge,min_charge,max_abs_charge,aliphaticCarbocycles,aliphaticRings,saturatedCarbocycles,molLogP,NPR2_is_imputed,GETAWAY_6_is_imputed,GETAWAY_7_is_imputed,GETAWAY_20_is_imputed,GETAWAY_24_is_imputed,GETAWAY_27_is_imputed,GETAWAY_30_is_imputed,GETAWAY_38_is_imputed,GETAWAY_43_is_imputed,GETAWAY_44_is_imputed,GETAWAY_52_is_imputed,GETAWAY_55_is_imputed,GETAWAY_59_is_imputed,GETAWAY_61_is_imputed,GETAWAY_62_is_imputed,GETAWAY_65_is_imputed,GETAWAY_95_is_imputed,GETAWAY_127_is_imputed,GETAWAY_130_is_imputed,GETAWAY_136_is_imputed,GETAWAY_140_is_imputed,GETAWAY_154_is_imputed,GETAWAY_156_is_imputed,GETAWAY_159_is_imputed,GETAWAY_172_is_imputed,GETAWAY_184_is_imputed,GETAWAY_194_is_imputed,GETAWAY_197_is_imputed,GETAWAY_198_is_imputed,GETAWAY_210_is_imputed,GETAWAY_216_is_imputed,GETAWAY_228_is_imputed,GETAWAY_232_is_imputed,GETAWAY_233_is_imputed,GETAWAY_249_is_imputed,GETAWAY_264_is_imputed,WHIM_1_is_imputed,WHIM_19_is_imputed,WHIM_30_is_imputed,WHIM_31_is_imputed,WHIM_43_is_imputed,WHIM_76_is_imputed,WHIM_102_is_imputed,MORSE_10_is_imputed,MORSE_25_is_imputed,MORSE_30_is_imputed,MORSE_33_is_imputed,MORSE_34_is_imputed,MORSE_42_is_imputed,MORSE_53_is_imputed,MORSE_55_is_imputed,MORSE_60_is_imputed,MORSE_61_is_imputed,MORSE_73_is_imputed,MORSE_78_is_imputed,MORSE_81_is_imputed,MORSE_85_is_imputed,MORSE_94_is_imputed,MORSE_194_is_imputed,MORSE_201_is_imputed,MORSE_204_is_imputed,MORSE_206_is_imputed,MORSE_222_is_imputed,RDF_4_is_imputed,RDF_16_is_imputed,RDF_31_is_imputed,RDF_34_is_imputed,RDF_39_is_imputed,RDF_40_is_imputed,RDF_41_is_imputed,RDF_44_is_imputed,RDF_47_is_imputed,RDF_49_is_imputed,RDF_53_is_imputed,RDF_70_is_imputed,RDF_189_is_imputed,RDF_190_is_imputed,RDF_203_is_imputed,RDF_204_is_imputed,RDF_206_is_imputed,RDF_207_is_imputed,AUTOCORR3D_4_is_imputed,AUTOCORR3D_7_is_imputed,AUTOCORR3D_19_is_imputed,AUTOCORR3D_26_is_imputed,AUTOCORR3D_63_is_imputed,Hardness_is_imputed,PEOE_VSA2_is_imputed,PEOE_VSA14_is_imputed,GGI5_is_imputed,JGI1_is_imputed,JGI3_is_imputed,JGI6_is_imputed,max_charge_is_imputed,min_charge_is_imputed,max_abs_charge_is_imputed,aliphaticCarbocycles_is_imputed,aliphaticRings_is_imputed,saturatedCarbocycles_is_imputed,molLogP_is_imputed
CHEMBL3577905,-0.605983906,0.415628279,0.678158634,-0.830310935,-0.221675792,0.074816639,-0.808637792,-0.587154727,0.099625675,0.781797711,-1.281517149,1.991737193,-0.804445525,-0.220949942,0.596498283,0.360060085,1.473134091,0.40105637,-0.791735462,0.709186105,-1.063470016,-0.14610527,0.813456001,0.145984892,-0.047601685,0.56679741,0.743570183,-0.695525176,-0.40217167,0.969749825,-1.12440568,1.79645723,-0.691094046,-0.851202903,0.00468424,5.144774677,0.813462561,0.956900226,0.225292619,0.833192169,-0.664761654,-0.525217373,0.605153893,0.931856841,-0.511079001,-0.035062469,0.629672222,-0.554999128,-0.33908379,-0.268741492,1.057831067,0.011701818,1.082349055,0.107099656,-0.358010109,-0.572637407,-0.850311299,-0.213607529,-0.517820426,0.204997901,0.348813028,-1.414935852,0.940311091,-0.351220863,0.138137363,-0.107267736,-0.495876543,-0.296413337,-1.237854208,-0.13071627,0.452997087,0.197213352,-0.86274603,-0.733797915,-0.89491154,-0.728406451,-0.861423011,-0.350275538,-0.793604456,-0.603954822,-0.54614948,0.744623339,0.574556081,-0.167332235,0.539083279,-0.142316677,0.988571346,-0.835653652,0.943978421,-0.539804645,-0.339515102,-0.619387784,-0.433365323,0.343420955,1.814309606,-0.944148273,-0.438878734,0.857320942,-0.374196231,0.851695042,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
CHEMBL497318,-0.602641194,0.194379223,-0.04707037,-0.322903282,0.172292133,0.151993425,-0.569616695,0.521086862,0.617654162,-0.233719307,-0.309136733,0.489814467,-0.804445525,0.681268534,1.141767563,0.147445375,-0.471151863,0.797089142,-0.537606077,2.035061069,-0.627613629,0.279009017,-0.578681426,0.145984892,0.788387269,0.017709959,-0.362651154,-0.389830643,-0.40217167,-0.125615262,-0.25635691,-0.143123434,-1.099382669,-0.636016703,1.589249581,0.160564231,0.675545176,2.146331807,0.32843158,0.48638019,1.153342357,-0.836553011,0.825286353,0.779399757,0.073238506,0.706958923,0.810216497,-1.007580076,-0.53464005,1.330883266,-1.034374953,-1.450652761,0.870384305,0.163273508,-0.482886457,-0.12733225,0.869019615,0.986318747,-1.490297183,1.667455502,2.621468121,-0.42617972,1.370918297,0.183006458,-0.373318679,-0.129956187,0.624861375,0.477818666,-0.35102545,0.706308423,0.134314662,0.482230912,-0.894183485,-0.8211152,-0.264576184,0.619202381,-0.299223769,-0.885648099,-0.793604456,-0.603954822,-0.54614948,0.967887443,0.835839001,0.069765193,0.733545752,1.564676541,1.061150777,-0.835653652,2.080681684,-0.23350388,1.284242929,0.349480477,1.259832583,0.367264561,1.629185243,-0.900481785,-0.438878734,0.857320942,-0.374196231,0.615532007,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
CHEMBL3687358,1.017678323,0.253525011,0.005957128,-0.614392785,0.190616223,-0.344949779,-0.330595598,-0.07866741,0.668362178,-0.30788628,0.312549107,0.346774207,-0.13710858,0.388657136,0.414741856,0.232491259,-0.831204817,-0.223447439,-0.436732993,2.650513727,0.700500949,-0.503935281,-0.239135712,0.245540804,2.47248096,0.515320461,-0.583895421,0.832947488,0.283669978,0.45249409,0.735698826,-0.430468718,-0.486949734,0.224728095,0.79696691,0.721287906,-1.321372708,-0.518758206,0.873594659,-0.653144884,0.710179504,-0.264712043,0.357504876,-0.343116114,0.1984494,1.727238337,0.512794178,-1.522569038,0.63123353,1.547346249,-0.698400263,-0.914456082,0.833520871,2.042288834,-0.557812266,-0.059568421,0.61768885,2.091367131,-2.126280676,2.123425077,-0.264269258,-2.032657152,2.715156763,2.070850305,0.101596059,0.596687446,1.334567567,-0.411829989,0.472124326,-0.225987373,0.007834988,-0.018911842,0.050358407,1.354510042,0.13712906,-0.231021897,0.425646303,0.214482441,0.775570483,-0.026913932,-0.030263135,-0.193085898,-0.409609585,0.314271917,-0.150374582,0.09282119,0.253996248,-0.835653652,0.970698492,0.693195164,1.047690177,0.185709094,1.26699721,0.361190649,0.766714733,-0.911605371,1.769018896,2.344556742,2.229254144,1.890259791,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
CHEMBL3235981,1.296597396,-1.426653465,-0.636611366,0.206096185,0.768529816,0.165169949,0.715121702,1.055650451,0.772659349,0.291154657,0.185023807,-0.439947221,1.583918276,-1.074399851,-1.301846618,-1.485435595,-0.471151863,0.148612997,0.177000089,0.189936468,-0.045004251,-0.797539393,-1.020090854,1.24109992,-0.95628533,0.292253684,1.407302984,0.527252956,-1.430934142,-0.76457823,-0.008342976,1.724620909,2.166926318,0.224728095,0.638510376,0.384853701,-1.6129395,1.529353928,1.68397221,-0.108154631,-0.369319752,-0.27741962,0.687703565,-0.468589642,0.121396542,0.240203531,0.340942341,-1.225271021,-0.485377786,1.774815825,-0.04935825,-1.124060238,0.663027485,1.185637602,0.239125882,0.585801372,2.359868015,0.283106139,-0.41839746,0.536986452,1.266741419,0.437366515,1.683164884,0.792094659,-0.860454588,0.023752959,0.232126358,-1.242658898,-1.001306577,-0.776619601,-1.309109786,-0.722794988,0.09550543,1.324917154,-0.848758172,-1.200654855,-0.650592762,1.202353246,-0.355405461,3.569759392,0.90492482,0.476706414,-0.522832184,0.306862622,-0.910546068,0.232826943,0.306053739,-0.147782915,0.943978421,-0.261349404,1.100625059,-0.480978032,-1.642376311,0.34343964,-0.565051664,0.118438935,-0.438878734,2.344556742,-0.374196231,0.567644339,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
CHEMBL3353599,-1.036406537,-0.195544856,0.119810283,0.637932485,-0.232952154,-0.888951999,-0.1712482,-0.743612363,-0.576865364,0.159936166,2.177606627,-0.010826442,-0.066862586,1.998019822,2.313086757,-0.19273816,0.609007,-0.827158916,-0.002093878,-0.945382512,0.191268066,2.12626822,-0.578681426,0.145984892,1.357829021,-0.522798,0.301081648,-0.08413611,0.283669978,-1.007992694,-0.504370844,-0.286796076,-0.486949734,-0.420830504,-0.153772294,-1.459304164,0.517176163,-0.334300902,-1.115513874,-0.1576992,0.607911154,0.402435753,-0.77067398,-0.048995369,0.012238327,-1.013453579,-1.935888941,0.453848525,-0.382374871,-0.510886524,-0.301339267,-0.280769098,0.644595767,-0.825386276,-0.905195561,-0.066022119,-0.816038922,-1.000535923,0.963654383,-0.74216833,-0.190209127,0.161962178,-1.461845866,0.4232832,-0.720155535,-0.565329165,0.041428253,0.487051998,1.1819471,-0.457215264,0.105012434,-0.687955135,-1.126300637,-0.8211152,1.077076596,0.558540473,0.729077199,-0.885648099,-0.793604456,-0.603954822,-0.54614948,0.953003169,1.637106622,-1.375047262,1.440682019,-0.420533237,0.461222693,0.540087821,-1.302708035,0.156333458,-1.300227958,0.591697542,-0.283010914,-0.990748815,-0.881572972,0.472282693,-0.438878734,-0.629914857,-0.374196231,-0.142598839,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
CHEMBL3235980,1.138220439,-0.438699759,-0.068905221,0.681116115,-0.574062129,-0.939775735,-1.25680235,-0.639307272,-0.708245225,-0.536092351,-1.042407211,0.990455376,0.038506405,-0.83055702,-0.756577338,-0.460632694,0.969059955,-0.340618346,-0.985340996,-0.667257113,0.232358904,-1.124785642,0.134364573,0.544208538,-1.150137841,0.017709959,-0.141406886,-0.08413611,0.283669978,1.152310673,-0.132349943,0.934421379,-0.691094046,-0.636016703,0.110321929,2.926801029,-1.018793501,0.766082325,2.052325642,-1.049501432,-0.09660415,0.224529674,0.605153893,0.210046755,0.169554578,-1.043373796,-0.266118695,0.486772437,-0.380882075,1.011692087,0.3782459,0.348043371,0.34508036,-0.199047833,-0.021979209,0.676153143,0.966124683,-0.693578039,0.898164621,-0.79676268,-1.009825301,0.808401345,-0.722937426,-0.639678507,-0.641817824,-0.630941712,-1.650888581,-0.996436706,-1.089449801,-1.635941786,-1.03645007,-0.700158925,-0.758506046,-0.426908712,-1.066063615,-0.97110196,-1.434112861,-0.470086211,0.042069804,-0.60387853,-0.538215917,0.967887443,-0.670892505,-0.448885432,-0.928224475,-0.698749797,0.920583009,0.615015068,-1.302708035,-1.318922411,-1.18439733,-1.638549077,-0.776548841,-1.171439133,1.202485886,-1.857516911,-0.438878734,0.857320942,-0.374196231,-1.569061451,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
CHEMBL3682561,0.890259038,-0.600803028,0.291369832,1.847074125,-0.80099893,-0.883304917,-0.778760155,-0.391582682,-1.03381374,-0.741477816,-0.867059923,-0.51146735,1.197565308,0.169198588,-0.473845118,-0.85184376,-0.25512009,-0.714635707,-0.489470149,-0.912081467,0.201540776,-0.797539393,-0.069362855,0.145984892,-1.222832533,0.317992159,0.079837381,-0.08413611,-0.40217167,-0.15604207,-0.008342976,-0.502305039,-0.691094046,-0.851202903,-0.206591139,-0.130181378,-1.315079899,-0.690494317,0.357899855,-0.405422042,0.482916503,0.542219101,0.192405531,0.079176516,0.082870113,-0.388121034,-0.298774069,0.184069001,-0.303256689,1.778484689,0.561504822,0.430910131,0.248313844,0.519977464,-0.053765916,0.317972908,1.674420475,-0.30848542,0.633465828,-0.689861452,-0.547731804,0.50916118,-1.180598489,0.507403601,-0.292781156,-0.188414718,-1.534408117,-0.870931784,-0.779509446,-1.285407833,-0.761472663,-0.577727349,-0.488805771,-0.649403384,-0.823544758,-0.453369095,-1.159564338,-0.571410109,-0.461294445,-0.405211976,-0.258852124,1.473952745,-0.453156738,-0.923080289,-0.344837055,-0.442072583,0.761274543,0.540087821,-1.302708035,-0.866154188,-1.543472276,-0.48833314,0.381539289,-1.096978275,1.208235013,-1.863943943,-0.438878734,2.344556742,-0.374196231,-1.93803709,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
CHEMBL3897350,1.489576631,-0.62051829,-0.10945566,-0.085393317,1.135716379,0.430582796,0.222140689,0.938307224,1.061349306,0.667694675,-0.468543359,0.060693688,1.197565308,-0.83055702,-1.160480508,-0.919880467,0.176943455,0.096265243,-0.032532774,0.255305187,-0.659899288,-0.864823668,-0.748454283,0.942432185,-0.841185402,0.541058935,1.849791519,1.138642021,0.283669978,-0.795005038,-0.25635691,1.078094021,1.758637694,0.870286695,0.585691532,-0.466615583,-1.503864153,1.624762879,1.728174622,0.007449362,-0.710214254,-0.556986316,0.96286914,-0.487478131,-0.658763645,0.297051945,0.08569009,-2.149106182,-0.769009003,1.595041483,-0.851116031,-0.938828658,0.842736729,1.275515764,-0.230863282,0.459954262,1.851494422,0.322173506,-0.885408124,0.500539385,1.995607854,-0.598486917,1.363027589,0.479781977,-0.382851193,0.095088719,1.100833538,-1.062266945,-1.613812038,-0.576810904,-0.174269255,0.202134235,1.236472325,0.611765102,-1.45217073,-1.172047522,-1.524699488,0.756364431,-0.410917952,-0.261666999,0.974228334,0.655317697,-0.618635921,0.380955568,-0.857510848,-0.21770439,0.926930259,-0.835653652,0.943978421,-0.219581118,1.100625059,-1.311436541,-1.406440404,0.343883572,-0.578183557,0.133119269,-0.438878734,2.344556742,-0.374196231,1.35402658,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
CHEMBL3298922,1.332390057,0.90850984,0.263296451,1.00499334,-0.563490539,-0.373185189,-0.858433854,-0.143858091,-0.865555321,-0.353527494,-0.484484021,-0.869068,0.881458335,-0.806172736,-1.120090191,0.104922433,-0.183109499,-0.378533775,-0.677412633,-1.000267569,-0.306224577,-1.020800853,-0.578681426,0.444652627,-0.495885616,-0.076664446,0.079837381,-0.695525176,-0.059250846,-1.129699926,0.611691859,-0.717814002,-0.282805423,0.009541896,0.057503085,-0.707519088,-0.749251539,-0.995802958,0.033748834,-0.867838014,0.823811005,0.218175886,0.192405531,-2.08625374,0.792398514,0.11753064,-0.272109429,-0.639520217,-1.354184987,0.244899485,0.718038484,-1.401907608,-0.42905177,-0.71022988,-0.205888013,-0.117651703,0.486311405,-0.475916994,0.677334727,-1.377933266,-0.11484512,1.102185116,-1.167635183,-0.971294937,0.217941615,-0.615816078,-0.775481198,-0.466204056,-0.072744702,-1.047519653,0.082828826,-0.194685794,-0.339655137,0.002736172,-0.333165218,-0.331973462,0.028375364,0.001159184,0.0523418,-0.412536089,-0.280247152,-0.178201624,-1.724733616,-0.359973896,-1.405541455,-0.339760687,-0.360206879,1.850568511,-0.255551737,-0.482999776,-0.53153379,0.132065595,0.455821436,-0.381330674,1.972343011,-2.271437367,-0.438878734,-0.629914857,-0.374196231,-1.404039154,1.332390057,0.90850984,0.263296451,1.00499334,-0.563490539,-0.373185189,-0.858433854,-0.143858091,-0.865555321,-0.353527494,-0.484484021,-0.869068,0.881458335,-0.806172736,-1.120090191,0.104922433,-0.183109499,-0.378533775,-0.677412633,-1.000267569,-0.306224577,-1.020800853,-0.578681426,0.444652627,-0.495885616,-0.076664446,0.079837381,-0.695525176,-0.059250846,-1.129699926,0.611691859,-0.717814002,-0.282805423,0.009541896,0.057503085,-0.707519088,-0.749251539,-0.995802958,0.033748834,-0.867838014,0.823811005,0.218175886,0.192405531,-2.08625374,0.792398514,0.11753064,-0.272109429,-0.639520217,-1.354184987,0.244899485,0.718038484,-1.401907608,-0.42905177,-0.71022988,-0.205888013,-0.117651703,0.486311405,-0.475916994,0.677334727,-1.377933266,-0.11484512,1.102185116,-1.167635183,-0.971294937,0.217941615,-0.615816078,-0.775481198,-0.466204056,-0.072744702,-1.047519653,0.082828826,-0.194685794,-0.339655137,0.002736172,-0.333165218,-0.331973462,0.028375364,0.001159184,0.0523418,-0.412536089,-0.280247152,-0.178201624,-1.724733616,-0.359973896,-1.405541455,-0.339760687,-0.360206879,1.850568511,-0.255551737,-0.482999776,-0.53153379,0.132065595,0.455821436,-0.381330674,1.972343011,-2.271437367,-0.438878734,-0.629914857,-0.374196231,-1.404039154
CHEMBL3682563,0.848622246,0.424390618,-0.493125198,0.843054728,0.805177995,1.142115111,-0.435167328,2.502883584,1.150088335,0.861669836,-0.930822573,0.847415116,0.846335338,-0.123412809,-1.281651459,0.496133499,0.681017591,0.315440885,-0.385057658,1.336355797,0.605111504,-1.528491296,-0.273090284,0.04642898,-0.556464526,0.32657165,2.292280053,1.138642021,1.31243245,0.60462813,0.363677925,2.083802514,0.737916136,1.946217693,0.427234998,0.854200185,-0.756593149,1.325814834,2.229135289,1.163489292,0.03975365,-0.868321954,1.760849307,-1.341507633,0.574082083,-1.369504166,1.087552237,-1.754510632,-1.12130883,0.527402023,0.928022664,-0.88520899,0.271353491,-0.294543381,-0.253568073,0.034010199,-0.102031067,-1.419114857,-1.286103802,0.922196869,0.659917735,-0.09793451,-1.018275353,-0.373663433,-0.240474541,-0.361746307,0.698563616,-1.032857072,1.551968754,-1.240233693,0.301353918,0.743628233,-0.365892412,0.115992901,0.388622183,-0.826030468,1.095628803,-0.176046046,2.980807837,0.950015875,1.162535295,-0.103780256,-1.716024185,0.810694658,-0.645369968,0.821569083,-0.000596242,1.850568511,0.881151526,0.40081716,0.46540648,0.988215848,0.626323163,0.355758153,1.972343012,-0.921554286,-0.438878734,-0.629914857,-0.374196231,-0.345558724,0.848622246,0.424390618,-0.493125198,0.843054728,0.805177995,1.142115111,-0.435167328,2.502883584,1.150088335,0.861669836,-0.930822573,0.847415116,0.846335338,-0.123412809,-1.281651459,0.496133499,0.681017591,0.315440885,-0.385057658,1.336355797,0.605111504,-1.528491296,-0.273090284,0.04642898,-0.556464526,0.32657165,2.292280053,1.138642021,1.31243245,0.60462813,0.363677925,2.083802514,0.737916136,1.946217693,0.427234998,0.854200185,-0.756593149,1.325814834,2.229135289,1.163489292,0.03975365,-0.868321954,1.760849307,-1.341507633,0.574082083,-1.369504166,1.087552237,-1.754510632,-1.12130883,0.527402023,0.928022664,-0.88520899,0.271353491,-0.294543381,-0.253568073,0.034010199,-0.102031067,-1.419114857,-1.286103802,0.922196869,0.659917735,-0.09793451,-1.018275353,-0.373663433,-0.240474541,-0.361746307,0.698563616,-1.032857072,1.551968754,-1.240233693,0.301353918,0.743628233,-0.365892412,0.115992901,0.388622183,-0.826030468,1.095628803,-0.176046046,2.980807837,0.950015875,1.162535295,-0.103780256,-1.716024185,0.810694658,-0.645369968,0.821569083,-0.000596242,1.850568511,0.881151526,0.40081716,0.46540648,0.988215848,0.626323163,0.355758153,1.972343012,-0.921554286,-0.438878734,-0.629914857,-0.374196231,-0.345558724
